"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-01","12.53"," 1542"," 1542","0.00","0.0","0.0","50","61","38",,"  320","  320","0.0","21.9","23.9","    1",,,,,,,"    1",,,"    1",,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-02","7.61"," 1129"," 1109","0.00","0.0","0.0","39","46","32",,"   90","  100","0.0","16.1","19.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-03","6.04"," 0025"," 0021","0.24","0.0","0.0","49","53","45",,"  210","  200","0.0","14.1","16.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-04","7.61"," 0533"," 0533","0.07","0.0","0.0","46","50","41",,"   20","   10","0.0","16.1","19.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-05","9.40"," 1154"," 1153","0.28","0.1","0.0","41","47","34",,"   20","   10","0.0","16.1","17.9","    1",,,"    1",,,,,,,"    1","    1",,"    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-06","11.41"," 0719"," 0640","0.39","0.0","0.0","37","41","33",,"   50","   60","0.0","21.0","25.9","    1",,,"    1",,,,,,,"    1","    1",,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-07","12.08"," 0409"," 0408","0.00","0.0","0.0","38","42","34",,"  280","  280","0.0","23.9","30.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-08","7.61"," 2018"," 2018","0.56","0.0","0.0","38","41","35",,"  310","  310","0.0","21.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-09","7.61"," 0048"," 0055","0.00","0.0","0.0","36","39","32",,"  360","  350","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-10","14.09"," 1557"," 1556","0.00","0.0","0.0","43","48","38",,"  300","  300","0.0","25.9","32.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-11","10.07"," 0019"," 0019","0.21","0.0","0.0","38","40","35",,"  310","  310","0.0","17.9","21.0","    1",,,"    1",,,,,,,"    1",,,"    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-12","10.51"," 0443"," 0443","0.11","0.0","0.0","39","42","35",,"   70","   80","0.0","21.0","25.9","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-13","12.08"," 2354"," 2349","0.01","0.0","0.0","47","54","39","    0","  190","  180","0.0","29.1","38.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-14","21.03"," 0353"," 0837","0.68","0.0","0.0","45","56","34",,"  190","  320","0.0","38.0","45.0","    1",,,,,,,,,"    1","    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-15","9.40"," 0153"," 0147","0.00","0.0","0.0","30","34","26",,"  320","  310","0.0","19.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-16","14.09"," 2129"," 1754","0.00","0.0","0.0","30","31","28",,"   10","   20","0.0","21.0","25.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-17","17.90"," 2222"," 2222","0.01","0.3","0.0","23","28","18",,"  300","  300","0.0","28.0","34.9",,,,,,,,,,,,,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-18","18.34"," 1209"," 1209","0.00","0.0","0.0","14","19","8",,"  310","  300","0.0","30.0","36.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-19","9.62"," 2341"," 2339","0.02","0.5","0.0","18","27","9",,"  250","  260","0.0","21.0","23.9","    1",,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-20","15.66"," 1106"," 1117","0.00","0.0","1.0","26","31","21",,"  300","  290","0.0","28.0","32.0",,,,,,,,,,,,,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-21","13.65"," 0939"," 0941","0.00","0.0","0.0","16","21","10",,"  360","  340","0.0","21.9","25.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-22","12.97"," 2334"," 2333","0.59","8.2","0.0","18","29","6",,"   10","   10","0.0","28.0","36.0","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-23","23.04"," 1507"," 1506","0.18","3.6","11.0","17","25","8",,"  340","  340","0.8","38.0","48.1","    1",,,,,,,,"    1",,"    1",,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-24","15.43"," 0120"," 0119","0.00","0.1","12.0","14","22","6",,"  320","  310","0.9","25.1","28.0",,,,,,,,,,,,,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-25","9.84"," 0324"," 1136","0.00","0.0","11.0","26","33","18",,"  280","  320","1.8","21.0","23.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-26","12.97"," 2208"," 2148","0.03","0.2","11.0","28","37","18",,"  350","  350","1.6","29.1","34.9","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-27","19.69"," 0949"," 0858","0.00","0.0","8.0","14","18","9","    0","  360","  350","2.1","29.1","36.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-28","12.08"," 1018"," 0945","0.00","0.0","8.0","14","22","6","    0","  350","  350","2.3","21.9","28.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-29","6.93"," 1509"," 1501","0.00","0.0","7.0","20","30","10",,"  230","  230","1.8","14.1","15.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-30","10.96"," 2027"," 2026","0.01","0.2","7.0","31","38","24",,"  360","  350","1.8","17.9","21.9","    1",,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-01-31","8.72"," 0933"," 0850","0.00","0.0","7.0","30","36","23",,"   20","   10","2.5","17.0","21.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-01","3.13"," 1514"," 1419","0.00","0.0","6.0","27","36","18",,"  200","  210","1.9","8.9","10.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-02","5.82"," 1449"," 2057","0.00","0.0","6.0","30","41","19",,"   30","   50","2.3","13.0","14.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-03","7.83"," 2121"," 2107","0.04","0.0","5.0","33","41","24",,"   40","   50","1.4","14.1","17.0","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-04","11.18"," 1215"," 1215","0.25","0.8","4.0","38","43","33",,"  360","  360","1.5","23.0","28.0","    1",,,"    1",,"    1",,,,,"    1",,,"    1","    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-05","11.18"," 1103"," 1102","0.00","0.0","3.0","44","53","34",,"  350","  350","1.2","19.9","21.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-06","7.61"," 1005"," 0958","0.00","0.0","0.0","43","52","34",,"   20","   20","0.0","17.0","21.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-07","3.80"," 1418"," 1417","0.00","0.0","0.0","40","49","30",,"  120","  120","0.0","10.1","12.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-08","4.70"," 1356"," 1356","0.00","0.0","0.0","41","50","32",,"  180","  180","0.0","10.1","12.1","    1",,,,,,,,,,"    1",,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-09","6.49"," 2133"," 2220","0.03","0.0","0.0","44","53","35",,"  110","  100","0.0","14.1","17.0","    1",,,,,,,"    1",,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-10","17.67"," 1931"," 2042","0.06","0.0","0.0","38","45","31",,"  310","  300","0.0","34.9","40.0","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-11","23.49"," 0644"," 0637","0.00","0.0","0.0","36","41","30",,"  300","  310","0.0","36.9","44.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-12","16.11"," 0122"," 0121","0.00","0.0","0.0","37","44","30",,"  310","  310","0.0","25.9","33.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-13","12.30"," 0747"," 0632","0.00","0.0","0.0","38","42","33",,"  310","  290","0.0","28.0","36.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-14","14.32"," 2333"," 2249","0.78","0.0","0.0","39","48","30",,"  150","  160","0.0","30.0","38.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-15","11.86"," 0025"," 0025","0.15","0.0","0.0","47","55","38",,"  160","  150","0.0","30.0","36.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-16","16.11"," 1713"," 1713","0.17","0.0","0.0","43","50","35",,"  310","  310","0.0","32.0","36.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-17","14.99"," 0327"," 0247","0.00","0.0","0.0","36","40","31",,"  310","  310","0.0","25.9","32.0",,,,,,,,,,,,,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-18","19.24"," 1725"," 1717","0.00","0.0","0.0","26","33","18",,"  300","  310","0.0","32.0","40.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-19","15.21"," 0056"," 0108","0.00","0.0","0.0","24","32","16",,"  300","  310","0.0","31.1","36.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-20","9.84"," 0514"," 0513","0.09","0.9","0.0","33","38","28",,"  310","  300","0.0","17.9","23.0","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-21","12.97"," 0712"," 0529","0.38","3.9","4.0","33","37","29",,"   90","  100","0.5","21.0","25.9","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-22","9.84"," 2320"," 1137","0.00","0.0","2.0","38","43","32",,"  240","  360","0.0","16.1","21.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-23","14.32"," 1131"," 0949","0.01","0.0","0.0","36","41","30",,"  300","  320","0.0","25.9","32.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-24","12.30"," 2149"," 2129","0.25","4.0","0.0","27","31","23",,"   30","   30","0.0","19.9","23.0","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-25","11.41"," 0310"," 0133","0.08","1.1","5.0","28","33","22",,"  360","   10","0.5","19.9","23.9","    1",,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-26","10.96"," 2206"," 2205","0.00","0.0","4.0","30","39","21",,"  310","  310","0.4","25.1","30.0",,,,,,,,,,,,,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-27","10.96"," 0106"," 0106","0.00","0.0","2.0","30","37","23",,"  310","  310","0.0","25.1","28.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-02-28","12.97"," 2109"," 1658","0.23","2.5","1.0","33","37","29",,"   30","   50","0.0","25.9","31.1","    1",,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-01","13.42"," 2211"," 2210","0.20","2.5","6.0","33","37","29",,"  250","  250","1.2","28.0","33.1","    1",,,,,,,,,,"    1",,,,,"    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-02","22.37"," 2249"," 0342","0.02","0.2","4.0","33","38","28",,"  300","  300","1.3","31.1","38.0",,,,,,,,,"    1",,,,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-03","21.25"," 0017"," 0016","0.00","0.0","3.0","28","33","23",,"  310","  300","1.0","33.1","38.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-04","14.99"," 0126"," 0102","0.00","0.0","2.0","30","35","24",,"  320","  310","0.0","29.1","34.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-05","10.29"," 2222"," 2148","0.00","0.0","1.0","35","43","26",,"  310","  290","0.0","19.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-06","13.42"," 1259"," 1303","0.00","0.0","1.0","40","49","31",,"  230","  230","0.0","23.9","25.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-07","14.09"," 1605"," 1530","0.00","0.0","0.0","44","53","34",,"  180","  180","0.0","32.0","40.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-08","22.59"," 1911"," 1910","0.43","3.0","0.0","33","47","18",,"  300","  290","0.0","47.0","57.9","    1",,,"    1",,,,,"    1",,"    1",,,"    1",,"    1",,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-09","21.70"," 0107"," 0051","0.00","0.0","3.0","23","29","16",,"  290","  280","0.4","38.0","47.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-10","11.86"," 1028"," 1027","0.00","0.0","2.0","27","32","21",,"  300","  300","0.3","21.0","25.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-11","8.95"," 1022"," 1022","0.04","0.4","1.0","38","46","29",,"  110","  110","0.0","25.1","28.0","    1",,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-12","12.75"," 1408"," 1343","0.17","0.9","1.0","38","44","31",,"  260","  240","0.0","23.0","30.0","    1",,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-13","10.51"," 1702"," 1701","0.00","0.0","0.0","40","47","33",,"  310","  310","0.0","21.9","28.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-14","15.43"," 2259"," 2258","0.00","0.0","0.0","36","43","29",,"  310","  310","0.0","25.1","30.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-15","18.79"," 1039"," 1344","0.00","0.0","0.0","38","47","29",,"  310","  280","0.0","28.0","36.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-16","15.66"," 0258"," 0031","0.00","0.0","0.0","40","47","32",,"  300","  300","0.0","25.1","34.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-17","8.50"," 1214"," 1225","0.00","0.0","0.0","37","43","30",,"  210","  220","0.0","17.0","19.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-18","10.51"," 1743"," 1659","0.00","0.0","0.0","41","51","31",,"  310","  300","0.0","21.0","25.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-19","8.72"," 0815"," 0814","0.00","0.0","0.0","41","48","33",,"  360","  360","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-20","5.37"," 1620"," 0905","0.06","0.0","0.0","39","42","35",,"  130","  120","0.0","8.9","12.1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-21","10.07"," 2054"," 2054","0.00","0.0","0.0","41","45","36",,"  310","  310","0.0","21.0","23.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-22","11.18"," 1615"," 1612","0.00","0.0","0.0","43","52","34",,"  190","  190","0.0","23.0","25.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-23","13.42"," 2016"," 2029","0.69","0.5","0.0","38","42","34",,"   40","   40","0.0","31.1","38.9","    1",,,"    1",,,,,,,"    1",,,"    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-24","11.63"," 1033"," 1110","0.04","0.3","0.0","40","46","33",,"  360","  360","0.0","21.0","25.1","    1",,,"    1",,,,,,,"    1",,,"    1",,"    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-25","10.29"," 1242"," 1242","0.00","0.0","0.0","42","48","35",,"  300","  310","0.0","17.0","21.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-26","9.17"," 1252"," 1235","0.00","0.0","0.0","41","47","34",,"  130","  120","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-27","10.07"," 1640"," 1639","0.03","0.0","0.0","43","46","39",,"  100","  100","0.0","17.0","19.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-28","12.30"," 2110"," 1643","2.56","0.0","0.0","46","53","39",,"   40","  120","0.0","21.0","29.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-29","16.11"," 1146"," 1146","0.00","0.0","0.0","52","59","45",,"  330","  330","0.0","23.0","29.1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-30","8.50"," 1239"," 2359","0.00","0.0","0.0","49","57","40",,"  200","  350","0.0","16.1","21.0",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-03-31","9.40"," 1757"," 1802","0.01","0.0","0.0","44","51","36",,"  110","  120","0.0","17.0","17.9",,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-01","7.61"," 2238"," 2238","0.05","0.0","0.0","45","49","41",,"   90","   90","0.0","16.1","17.9","    1",,,,,,,"    1",,,"    1","    1",,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-02","22.59"," 2045"," 2044","1.21","0.0","0.0","48","53","43",,"  120","  130","0.0","38.9","49.0","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-03","18.79"," 0128"," 0134","0.01","0.0","0.0","45","48","41",,"  170","  160","0.0","29.1","36.0",,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-04","16.55"," 1244"," 1236","0.00","0.0","0.0","50","58","42",,"  290","  300","0.0","28.0","34.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-05","13.65"," 0829"," 0922","0.00","0.0","0.0","56","67","45",,"  300","  290","0.0","25.1","31.1",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-06","6.93"," 0602"," 0638","0.00","0.0","0.0","53","63","43",,"  190","  200","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-07","11.41"," 1506"," 1524","0.25","0.0","0.0","54","62","46",,"  190","  190","0.0","29.1","33.1","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-08","10.07"," 0646"," 1134","0.98","0.0","0.0","54","63","45",,"  360","  360","0.0","21.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-09","9.40"," 0741"," 0749","0.00","0.0","0.0","52","61","42",,"   30","   40","0.0","23.0","25.9",,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2005-04-10","5.82"," 2339"," 2339","0.00","0.0","0.0","51","61","41",,"   10","   10","0.0","16.1","17.9",,,,,,,,,,,,,,,,,,,,
